Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
11bcb6eb-d01b-5dfa-b663-31d059d0c1be_14,1,0,0.0,2
17903128-02fa-51c7-ac85-f58cf610776c_6,1,0,3.1225022567582515e-17,68
33d63940-9b9f-5374-a78e-2f2fd996324d_5,1,0,0.0,63
35ca3b35-0e1a-5f64-8e97-1b9cf94610a8_13,1,0,0.057118720588398016,2
145bb9ef-6caa-50e6-8f1b-fbd167835790_5,1,0,-1.0625181290357939e-17,69
290e9291-e96c-58e8-ae1f-df8b1b28ad30_1,0,4,0.0,30
290e9291-e96c-58e8-ae1f-df8b1b28ad30_2,1,0,-1.7347234759768065e-17,30
290e9291-e96c-58e8-ae1f-df8b1b28ad30_6,1,0,-1.387778780781445e-17,30
290e9291-e96c-58e8-ae1f-df8b1b28ad30_7,1,0,-6.938893903907225e-18,30
6710e490-431f-55f3-8f92-754111182e71_14,2,3,-3.469446951953613e-17,60
09ae1f26-6c5e-5c34-a300-e0e95c8f2bb3_2,1,4,3.4694469519536126e-18,2
1748605b-31fd-5f5a-a2d6-3ac35d3a39b1_3,1,0,2.0816681711721676e-17,2
09ae1f26-6c5e-5c34-a300-e0e95c8f2bb3_5,1,0,2.0816681711721676e-17,2
09ae1f26-6c5e-5c34-a300-e0e95c8f2bb3_6,1,2,1.387778780781445e-17,2
694cd904-6a66-56d9-b8d1-63c765cfec65_2,1,1,-2.0816681711721676e-17,24
3e61bfc3-401f-53d8-a29d-03e05648e03f_6,0,0,0.0,70
683fcdec-a977-5367-8583-1828acabc83a_13,1,0,-3.469446951953613e-17,15
2f1e1fe3-f35c-5c2b-a283-10e842cefd0b_1,0,3,-6.938893903907225e-18,68
2f1e1fe3-f35c-5c2b-a283-10e842cefd0b_2,1,0,1.387778780781445e-17,68
2f1e1fe3-f35c-5c2b-a283-10e842cefd0b_3,1,0,1.908195823574487e-17,68
2f1e1fe3-f35c-5c2b-a283-10e842cefd0b_7,2,0,-6.938893903907225e-18,68
35216079-acb0-5518-80a0-baa53dac13aa_5,1,0,-3.4694469519536126e-18,71
16b24905-571d-5881-a61a-171cdf30032f_1,0,5,1.084202172485504e-19,42
16b24905-571d-5881-a61a-171cdf30032f_4,1,0,6.938893903907225e-18,42
16b24905-571d-5881-a61a-171cdf30032f_2,1,0,3.4694469519536126e-18,42
16b24905-571d-5881-a61a-171cdf30032f_3,1,0,3.4694469519536126e-18,42
16e31b5a-4214-5a2e-b159-890b973097fc_2,1,0,0.0,42
6990840f-60f0-5546-b6c0-065346acf673_8,1,0,-4.163336342344335e-17,2
38018623-f67a-5a74-867e-0e0cafab73a8_1,0,7,-3.4694469519536126e-18,2
43583591-815e-50e6-8f17-a556c9981551_2,1,0,-1.387778780781445e-17,2
43583591-815e-50e6-8f17-a556c9981551_4,3,0,-1.7347234759768065e-17,2
5640fc98-5f56-5458-af83-2548cb045dca_2,1,0,0.0,2
5640fc98-5f56-5458-af83-2548cb045dca_3,2,0,-1.5612511283791258e-17,2
5640fc98-5f56-5458-af83-2548cb045dca_4,2,0,-2.0816681711721676e-17,2
5640fc98-5f56-5458-af83-2548cb045dca_7,1,0,-6.938893903907225e-18,2
38018623-f67a-5a74-867e-0e0cafab73a8_2,1,3,-1.0408340855860838e-17,2
28a97b43-fe79-5c1c-be30-e5aecb3a9ff2_6,0,1,0.0,26
3015fcaa-53a6-5f6f-a727-1c7370e1dd1e_3,1,0,-1.387778780781445e-17,27
588338dc-73b7-5982-982a-e924d44d967e_4,1,6,8.673617379884032e-18,72
588338dc-73b7-5982-982a-e924d44d967e_3,4,0,-1.1275702593849241e-17,72
588338dc-73b7-5982-982a-e924d44d967e_9,2,0,2.0816681711721676e-17,72
588338dc-73b7-5982-982a-e924d44d967e_10,2,0,1.7347234759768065e-17,72
588338dc-73b7-5982-982a-e924d44d967e_11,1,0,2.0816681711721676e-17,72
588338dc-73b7-5982-982a-e924d44d967e_12,1,0,1.387778780781445e-17,72
588338dc-73b7-5982-982a-e924d44d967e_13,1,0,1.387778780781445e-17,72
271c9721-2c07-5518-aee8-75ff8cc039b0_3,6,0,8.32667268468867e-17,2
4926d6ca-9663-5121-a335-0f5e94a5d782_8,1,0,0.0,45
56e619fb-5617-5640-8f9e-12fba9d132c5_5,0,0,0.0,73
626b3dfc-92ad-549c-b3d4-4ffe7b19dce5_3,2,0,0.10764857839887067,2
33d63940-9b9f-5374-a78e-2f2fd996324d_4,1,0,-3.4694469519536126e-18,63
6aa9a06e-1c24-593f-a081-70764f0b5e54_7,0,2,0.0,56
6aa9a06e-1c24-593f-a081-70764f0b5e54_5,2,1,0.0,56
6aa9a06e-1c24-593f-a081-70764f0b5e54_8,1,0,-6.938893903907225e-18,56
11bcb6eb-d01b-5dfa-b663-31d059d0c1be_9,0,0,-6.938893903907225e-18,74
219fd624-e658-5779-98e3-915f79609232_4,2,0,4.336808689942016e-18,2
19f7b22e-bbc8-5536-b2fd-49035b599ea4_2,0,1,0.0,75
19f7b22e-bbc8-5536-b2fd-49035b599ea4_3,2,0,-1.0408340855860838e-17,75
289bdd3f-e6ac-5337-8e7a-cfb5bb9607bf_1,0,0,0.0,76
5bf113ae-f7f5-54ba-ad76-cd09d2da9922_3,0,0,1.7347234759768063e-18,77
1bacd38b-128a-51b7-b1e1-26e8346c8916_3,0,0,0.0,78
1acef9cc-ddfd-5116-ab0a-8a008af8186a_8,1,1,-1.0408340855860838e-17,2
1acef9cc-ddfd-5116-ab0a-8a008af8186a_4,7,0,0.10764857839887064,2
3810e19d-6222-55d2-8fcc-2a819c628247_2,1,1,-6.938893903907225e-18,79
3810e19d-6222-55d2-8fcc-2a819c628247_1,2,1,2.220446049250312e-16,79
2ddbe64b-0364-5f22-91dc-d394cdf796a0_5,1,1,1.387778780781445e-17,2
2ddbe64b-0364-5f22-91dc-d394cdf796a0_6,1,0,-1.387778780781445e-17,2
4c797ad8-3bae-566d-b661-baacd56dd75a_7,2,1,1.7347234759768063e-18,2
5cdd92bd-dcf9-5b05-8388-980bd13dc905_3,0,1,0.0,80
5cdd92bd-dcf9-5b05-8388-980bd13dc905_1,1,0,2.0816681711721676e-17,80
