Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
7e13bbd5-6466-5aed-b952-8019b02dd0bc_7,1,0,-6.938893903907228e-17,16
13c726c9-bfb5-5c93-9cab-2af3c5691409_3,1,2,-1.5829351718288365e-16,16
13c726c9-bfb5-5c93-9cab-2af3c5691409_10,1,6,-4.85722573273506e-17,16
13c726c9-bfb5-5c93-9cab-2af3c5691409_9,1,0,-7.632783294297951e-17,16
683fcdec-a977-5367-8583-1828acabc83a_10,0,1,1.3877787807814457e-17,19
c5239a57-f27e-502a-a4fd-fb37c883317b_4,0,0,-6.938893903907228e-18,50
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_6,1,0,-2.7755575615628914e-17,8
5285287c-3372-5e34-a3f5-65739fa845d9_7,1,0,-2.7755575615628914e-17,18
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_4,1,0,-1.3877787807814457e-17,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_10,1,0,0.0,8
c27c3c15-6bdb-584b-9cfe-be73dff84328_2,1,0,-2.7755575615628914e-17,51
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_3,1,0,-4.163336342344337e-17,8
06e6ddd6-9d30-5875-a0ca-fe4b4763da99_3,0,1,-1.3877787807814457e-17,46
683fcdec-a977-5367-8583-1828acabc83a_2,1,0,1.3877787807814457e-17,23
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_4,1,0,8.673617379884035e-18,40
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_1,0,4,4.163336342344337e-17,40
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_2,1,0,0.0,40
4cd09aad-8ef1-5e18-bc59-3a947e061e5c_5,1,0,3.469446951953614e-17,40
5285287c-3372-5e34-a3f5-65739fa845d9_1,1,0,2.7755575615628914e-17,18
4a2a7a8b-1c0a-5c62-a609-153deb83060b_4,0,1,4.163336342344337e-17,16
4a2a7a8b-1c0a-5c62-a609-153deb83060b_6,1,1,6.938893903907228e-18,16
96d90f49-ec47-56af-9e51-c7b840f54eff_4,1,0,5.551115123125783e-17,7
bdea7d33-46f5-51fc-95ad-0be9911092f3_3,1,0,0.0,18
4985d0da-256e-5172-8c5f-0ec156d0a94e_2,0,0,-6.938893903907228e-18,52
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_1,0,21,8.673617379884035e-19,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_9,1,0,-1.3877787807814457e-17,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_11,1,0,-2.7755575615628914e-17,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_12,1,0,-2.7755575615628914e-17,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_15,1,0,-6.938893903907228e-18,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_16,1,0,-2.7755575615628914e-17,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_20,1,0,2.7755575615628914e-17,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_21,1,0,5.551115123125783e-17,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_23,1,0,8.673617379884035e-19,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_24,1,0,1.3877787807814457e-17,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_25,1,0,0.0,8
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_26,1,0,-6.938893903907228e-18,8
dae4b91a-789d-51ac-ba7f-63e9ab4e78e8_1,0,1,1.3877787807814457e-17,33
19d200ca-fb01-5f04-9f17-4e7cff621e08_6,2,4,8.326672684688674e-17,16
7e13bbd5-6466-5aed-b952-8019b02dd0bc_2,2,0,2.1510571102112408e-16,16
7e13bbd5-6466-5aed-b952-8019b02dd0bc_5,1,2,7.632783294297951e-17,16
f588c8d4-ae74-5ffa-9657-c0c241263b8e_2,1,0,6.938893903907228e-17,16
f588c8d4-ae74-5ffa-9657-c0c241263b8e_4,1,1,6.938893903907228e-17,16
270aed57-afdf-5fa3-a6da-dc24d7448470_2,1,0,1.3877787807814457e-17,53
5285287c-3372-5e34-a3f5-65739fa845d9_4,1,5,-6.938893903907228e-18,18
5285287c-3372-5e34-a3f5-65739fa845d9_10,1,0,2.7755575615628914e-17,18
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_1,0,5,-2.7755575615628914e-17,9
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_3,1,0,-1.3877787807814457e-17,9
5285287c-3372-5e34-a3f5-65739fa845d9_2,0,5,5.204170427930421e-18,18
5285287c-3372-5e34-a3f5-65739fa845d9_3,2,0,0.0,18
c5239a57-f27e-502a-a4fd-fb37c883317b_5,0,0,-1.0408340855860843e-17,54
683fcdec-a977-5367-8583-1828acabc83a_9,0,1,2.0816681711721685e-17,14
683fcdec-a977-5367-8583-1828acabc83a_1,0,3,3.469446951953614e-18,23
683fcdec-a977-5367-8583-1828acabc83a_5,1,0,1.3877787807814457e-17,23
e21054cd-c52e-5535-b1b1-0bc66c6d050c_1,0,1,4.163336342344337e-17,38
c9e2da87-1c2d-58fe-ad48-3033050276bd_1,2,1,0.7265173980555677,55
